1592753257000,2341,91831,京Z71979,3.2,88,69
1592754219000,3141,34435,京Z71979,85.3,83,17
1592752183000,4912,69738,京Z71979,21.6,74,79
1592755003000,1493,13361,京Z71979,69.4,52,91
1592752460000,5044,38873,京Z71979,57.7,83,34
1592754773000,8728,78786,京Z71979,30.6,77,68
1592754165000,7704,35218,京Z71979,58.5,39,55
1592754541000,2740,07651,京Z71979,32.3,32,10
1592754978000,9622,68202,京Z71979,39.1,40,76
1592753637000,5060,10970,京Z71979,29.5,26,20
1592753104000,0063,33062,京Z71979,92.2,88,09
1592754123000,0374,61029,京Z71979,13.2,79,57
1592752919000,7941,10322,京Z71979,20.4,79,24
1592753494000,4670,76562,京Z71979,35.3,49,76
1592755088000,2817,15268,京Z71979,29.9,25,20
1592754852000,2875,61480,京Z71979,7.0,21,72
1592752448000,5218,34804,京Z71979,100.5,43,18
1592753344000,2640,09721,京Z71979,9.9,03,85
1592754348000,2526,33379,京Z71979,73.6,40,86
1592754506000,8822,94952,京Z71979,61.3,72,29
1592752038000,0637,81900,京Z71979,62.8,80,56
1592752328000,9590,95590,京Z71979,88.3,35,29
1592752292000,4359,73940,京Z71979,39.5,81,60
1592753623000,7499,45196,京Z71979,37.1,38,92
1592754180000,1208,62418,京Z71979,26.5,06,84
1592755192000,5036,77821,京Z71979,68.4,07,46
1592753086000,0978,22147,京Z71979,8.6,62,93
1592752129000,6591,20131,京Z71979,35.6,52,14
1592752327000,0264,39989,京Z71979,110.2,41,42
1592754915000,8753,94316,京Z71979,45.6,91,73
1592671493000,4291,75765,京Z71979,29.8,74,00
1592669609000,9340,16584,京Z71979,9.3,79,06
1592670015000,8948,98463,京Z71979,3.6,46,48
1592669495000,7224,81000,京Z71979,22.4,96,87
1592669892000,8673,26314,京Z71979,123.1,05,22
1592671622000,7578,85917,京Z71979,118.7,17,31
1592668966000,2325,09558,京Z71979,18.5,76,54
1592672022000,7075,39923,京Z71979,26.6,33,20
1592670734000,4968,41691,京Z71979,45.3,25,17
1592670611000,8295,33393,京Z71979,28.9,67,65
1592672215000,6469,15671,京Z71979,53.1,82,50
1592671999000,6087,89016,京Z71979,23.5,12,08
1592671663000,4754,96187,京Z71979,64.9,77,33
1592672303000,7585,04157,京Z71979,38.2,80,92
1592670204000,1489,94075,京Z71979,40.9,26,01
1592670976000,4059,05899,京Z71979,87.3,72,68
